0,20,0,342
1,20,0,155
2,20,0,93
3,20,0.325,115
4,20,1.158,144
0,21,0,362
1,21,0,186
2,21,0.027,95
3,21,0.544,123
4,21,4.112,371
0,22,0,374
1,22,0,202
2,22,0.034,95
3,22,0.59,123
4,22,3.693,378
0,23,0,397
1,23,0,206
2,23,0.08,97
3,23,0.841,270
4,23,4.616,428
0,24,0,422
1,24,0,226
2,24,0.215,105
3,24,3.159,317
4,24,5.763,438
0,25,0,451
1,25,0,241
2,25,0.245,106
3,25,4.124,391
4,25,5.9,462
0,26,0,476
1,26,0,257
2,26,0.328,170
3,26,4.465,476
4,26,5.917,457
0,27,0,502
1,27,0,270
2,27,1.452,287
3,27,4.491,483
4,27,6.395,554
0,28,0,521
1,28,0,254
2,28,1.566,274
3,28,5.652,501
4,28,7.267,604
0,29,0,523
1,29,0,281
2,29,1.238,332
3,29,5.253,528
4,29,7.554,679
0,30,0,534
1,30,0,435
2,30,3.076,508
3,30,7.593,628
4,30,7.662,703
0,31,0,560
1,31,0.566,548
2,31,7.689,697
3,31,7.719,815
4,31,7.719,820
0,32,0,623
1,32,7.502,908
2,32,7.719,921
3,32,7.719,1043
4,32,7.719,1125
0,33,5.639,601
1,33,7.719,1122
2,33,7.719,1205
3,33,7.719,1361
4,33,7.719,1459
0,34,7.018,614
1,34,7.719,1302
2,34,7.719,1538
3,34,7.719,1617
4,34,7.719,1755
0,35,7.588,656
1,35,7.719,1509
2,35,7.719,1879
3,35,7.719,1910
4,35,7.719,2120
0,36,7.708,703
0,37,7.719,756
0,38,7.719,807
0,39,7.719,860
0,40,7.719,898
